NAME,MSINI,A,PER,ECC,OM,T0,K,ORBREF,ORBURL,FIRSTREF,FIRSTURL
,mjupiter,au,day,,deg,jd,m/s,,,,
HD 75289 b,0.46004,0.047858,3.509267,0.034,141,2450830.34,54.9,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Udry 2000,http://adsabs.harvard.edu/abs/2000A%26A...356..590U
HD 185269 b,0.954212,0.0765701,6.8378503,0.295952,171.817,2453154.089,90.692,Johnson 2006,http://adsabs.harvard.edu/abs/2006ApJ...652.1724J,Johnson 2006,http://adsabs.harvard.edu/abs/2006ApJ...652.1724J
BD -10 3166 b,0.429903,0.0437823,3.48777,0.019,334,2451171.22,60.9,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Butler 2000,http://adsabs.harvard.edu/abs/2000ApJ...545..504B
HD 190360 b,1.53512,3.97285,2915.0369,0.313105,12.9274,2453541.662,23.2383,Wright 2009,http://adsabs.harvard.edu/abs/2009ApJ...693.1084W,Naef 2003,http://adsabs.harvard.edu/abs/2003A%26A...410.1051N
HAT-P-13 c,14.2696,1.22574,446.27,0.6616,175.29,2455335.448,440,Winn 2010,http://adsabs.harvard.edu/abs/2010ApJ...718..575W,Bakos 2009,http://adsabs.harvard.edu/abs/2009ApJ...707..446B
GJ 317 b,1.26045,0.953099,692,0.11,342,2451550.9925,75.2,Anglada-Escude 2012,http://adsabs.harvard.edu/abs/2012ApJ...746...37A,Johnson 2007,http://adsabs.harvard.edu/abs/2007ApJ...670..833J
HD 37605 b,2.80174,0.283337,55.01307,0.6767,220.86,2453378.241,202.99,Wang 2012,http://adsabs.harvard.edu/abs/2012ApJ...761...46W,Cochran 2004,http://adsabs.harvard.edu/abs/2004ApJ...611L.133C
HD 125612 c,0.0580667,0.0522124,4.15474,0.27499,103.511,2454420.17287,7.165,Lo Curto 2010 (corrected: priv. comm.),http://adsabs.harvard.edu/abs/2010A%26A...512A..48L,Lo Curto 2010,http://adsabs.harvard.edu/abs/2010A%26A...512A..48L
GJ 581 b,0.0499019,0.0406125,5.36865,0.031,251,2454753.95,12.65,Forveille 2011,http://xxx.lanl.gov/abs/1109.2505,Bonfils 2005,http://adsabs.harvard.edu/abs/2005A%26A...443L..15B
HD 75784 b,5.6,6.45931,5040,0.36,301,2459655,57,Giguere 2015,http://adsabs.harvard.edu/abs/2015ApJ...799...89G,Giguere 2015,http://adsabs.harvard.edu/abs/2015ApJ...799...89G
HD 102117 b,0.169756,0.152077,20.8133,0.121,279,2450942.2,11.98,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Tinney 2005,http://adsabs.harvard.edu/abs/2005ApJ...623.1171T
HD 189733 b,1.14039,0.0309953,2.21857567,0,90,2454279.436714,205,Bouchy 2005,http://adsabs.harvard.edu/abs/2005A%26A...444L..15B,Bouchy 2005,http://adsabs.harvard.edu/abs/2005A%26A...444L..15B
HD 108863 b,2.76572,1.45325,443.4,0,177,2455516,45.2,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J
HD 10442 b,2.1,2.33538,1043,0.11,198,2457062,31.5,Giguere 2015,http://adsabs.harvard.edu/abs/2015ApJ...799...89G,Giguere 2015,http://adsabs.harvard.edu/abs/2015ApJ...799...89G
HD 1502 b,2.9072,1.27206,431.8,0.101,219,2455227,60.7,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J
HD 142022 b,4.46762,2.93163,1928,0.53,170,2450941,92,Eggenberger 2006,http://adsabs.harvard.edu/abs/2006A%26A...447.1159E,Eggenberger 2006,http://adsabs.harvard.edu/abs/2006A%26A...447.1159E
GJ 3293 c,0.0668751,0.361757,122.61917047,0.117135,314.76,2455933.5989195937,4.91142,Astudillo-Defru 2015 (corrected; private communication),http://adsabs.harvard.edu/abs/2015A%26A...575A.119A,Astudillo-Defru 2015,http://adsabs.harvard.edu/abs/2015A%26A...575A.119A
HD 212771 b,2.70016,1.16471,373.3,0.111,55,2454947,58.2,Johnson 2010,http://adsabs.harvard.edu/abs/2010PASP..122..701J,Johnson 2010,http://adsabs.harvard.edu/abs/2010PASP..122..701J
HD 109271 b,0.0546827,0.0785237,7.8543,0.25,-64,2455719.1,5.6,Lo Curto 2013,http://adsabs.harvard.edu/abs/2013A%26A...551A..59L,Lo Curto 2013,http://adsabs.harvard.edu/abs/2013A%26A...551A..59L
HD 134987 b,1.56347,0.807929,258.18,0.233,352.7,2450071,49.5,Jones 2010,http://adsabs.harvard.edu/abs/2010MNRAS.403.1703J,Vogt 2000,http://adsabs.harvard.edu/abs/2000ApJ...536..902V
HD 187123 c,1.9422,4.83146,3805.6705,0.252086,242.973,2453580.036,25.4708,Wright 2009,http://adsabs.harvard.edu/abs/2007ApJ...657..533W,Vogt 2000,http://adsabs.harvard.edu/abs/2000ApJ...536..902V
HD 101930 b,0.299187,0.302019,70.459999,0.11,251,2453145,18.1,Lovis 2005,http://adsabs.harvard.edu/abs/2005A%26A...437.1121L,Lovis 2005,http://adsabs.harvard.edu/abs/2005A%26A...437.1121L
HD 131664 b,18.3282,3.17098,1951,0.638,149.7,2452060,359.5,Moutou 2009,http://adsabs.harvard.edu/abs/2009A%26A...496..513M,Moutou 2009,http://adsabs.harvard.edu/abs/2009A%26A...496..513M
HIP 57050 b,0.297735,0.163506,41.397,0.314,238.1,2451544.1,37.8,Haghighipour 2010,http://adsabs.harvard.edu/abs/2010ApJ...715..271H,Haghighipour 2010,http://adsabs.harvard.edu/abs/2010ApJ...715..271H
GJ 687 b,0.0590189,0.165144,38.14,0.04,359.43,2450579.11,6.43,Burt 2014,http://adsabs.harvard.edu/abs/2014ApJ...789..114B,Burt 2014,http://adsabs.harvard.edu/abs/2014ApJ...789..114B
BD +49 828 b,1.57419,4.24519,2590,0.35,170,2455470,18.8,Niedzielski 2015,http://adsabs.harvard.edu/abs/2015ApJ...803....1N,Niedzielski 2015,http://adsabs.harvard.edu/abs/2015ApJ...803....1N
HD 147018 c,6.59355,1.92274,1008,0.133,226.9,2455301,141.2,Segransan 2010,http://adsabs.harvard.edu/abs/2010A%26A...511A..45S,Segransan 2010,http://adsabs.harvard.edu/abs/2010A%26A...511A..45S
HD 92788 b,3.56392,0.951142,325.81,0.334,276.4,2450759.2,106,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Fischer 2001,http://adsabs.harvard.edu/abs/2001ApJ...551.1107F
HD 114613 b,0.506039,5.3109,3827,0.25,244,2455550.3,5.52,Wittenmyer 2014,http://adsabs.harvard.edu/abs/2014arXiv1401.5525W,Wittenmyer 2014,http://adsabs.harvard.edu/abs/2014arXiv1401.5525W
HD 154857 b,2.24797,1.2912,408.6,0.46,57,2453572.5,48.3,Wittenmyer 2007,http://adsabs.harvard.edu/abs/2014arXiv1401.5525W,McCarthy 2004,http://adsabs.harvard.edu/abs/2004ApJ...617..575M
GJ 628 d,0.0243824,0.470207,217.186363,0.552796,260.871,2456172.53309055,2.23738,Astudillo-Defru 2017 (corrected; private communication),http://adsabs.harvard.edu/abs/2017A%26A...602A..88A,Astudillo-Defru 2017,http://adsabs.harvard.edu/abs/2017A%26A...602A..88A
HD 163607 b,0.768857,0.359201,75.29,0.73,78.7,2454185,51.1,Giguere 2012,http://adsabs.harvard.edu/abs/2012ApJ...744....4G,Giguere 2012,http://adsabs.harvard.edu/abs/2012ApJ...744....4G
GJ 3293 d,0.0238786,0.19394,48.13439034,0.116821,250.295,2456008.7522496083,2.39514,Astudillo-Defru 2015 (corrected; private communication),http://adsabs.harvard.edu/abs/2015A%26A...575A.119A,Astudillo-Defru 2015,http://adsabs.harvard.edu/abs/2015A%26A...575A.119A
HD 19994 b,1.32681,1.30567,466.2,0.266,346,2453757,29.3,Wittenmyer 2009,http://adsabs.harvard.edu/abs/2009ApJS..182...97W,Mayor 2004,http://adsabs.harvard.edu/abs/2004A%26A...415..391M
HD 85512 b,0.0113953,0.260405,58.43,0.11,178,2455250.015,0.769,Pepe 2011,http://adsabs.harvard.edu/abs/2011A%26A...534A..58P,Pepe 2011,http://adsabs.harvard.edu/abs/2011A%26A...534A..58P
HD 106252 b,6.95913,2.61147,1531,0.482,292.8,2453397.5,138.8,Wittenmyer 2009,http://adsabs.harvard.edu/abs/2009ApJS..182...97W,Fischer 2002,http://adsabs.harvard.edu/abs/2002PASP..114..529F
HD 164922 c,0.0412178,0.335039,75.765,0.22,81,,2.22,Fulton 2016,http://adsabs.harvard.edu/abs/2016ApJ...830...46F,Fulton 2016,http://adsabs.harvard.edu/abs/2016ApJ...830...46F
18 Del b,10.298,2.58655,993.3,0.08,166.1,2451672,119.4,Sato 2008,http://adsabs.harvard.edu/abs/2008PASJ...60..539S,Sato 2008,http://adsabs.harvard.edu/abs/2008PASJ...60..539S
HD 171028 b,1.98809,1.31895,550,0.59,304,2454187,60.6,Santos 2011,http://adsabs.harvard.edu/abs/2011A%26A...526A.112S,Santos 2007,http://adsabs.harvard.edu/abs/2007A%26A...474..647S
BD +15 2940 b,1.11647,0.538316,137.48,0.26,302,2453464,42.7,Nowak 2013,http://adsabs.harvard.edu/abs/2013ApJ...770...53N,Nowak 2013,http://adsabs.harvard.edu/abs/2013ApJ...770...53N
upsilon And d,4.11582,2.52452,1278.1218,0.267395,269.685,2453937.728,66.6805,Wright 2009,http://adsabs.harvard.edu/abs/2009ApJ...693.1084W,Butler 1999,http://adsabs.harvard.edu/abs/1999ApJ...526..916B
